,Owner,total_capacity,num_countries,avg_iso14001,avg_iso50001,avg_responsible,centroid_lat,centroid_lon,env_score
126,Baotou Deshun Spec. Steel Co Ltd,0.0,1,1.0,1.0,0.0,40.9019,110.336253,0.6666666666666666
127,Baotou Jiyu Steel Co Ltd,0.0,1,1.0,1.0,0.0,40.662343,109.696243,0.6666666666666666
128,Baowu Group Echeng Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,30.39574,114.861313,0.6666666666666666
129,Bashundhara Multi Steel Industries Ltd,0.0,1,1.0,1.0,0.0,22.719278,91.470382,0.6666666666666666
130,Beijing Shougang Co Ltd,0.0,1,1.0,1.0,0.0,39.976702,118.558788,0.6666666666666666
131,Bengang Steel Plates Co Ltd,0.0,1,1.0,1.0,0.0,41.274132,123.722099,0.6666666666666666
132,Benteler Steel/Tube GmbH,0.0,1,1.0,1.0,0.0,52.467622,7.317169,0.6666666666666666
133,Benxi Beiying Iron & Steel (GROUP) Co Ltd,0.0,1,1.0,1.0,0.0,41.224814,123.608374,0.6666666666666666
134,Berhard Development Corporation (Private) Ltd,1200.0,1,1.0,1.0,0.0,-19.055102,29.782424,0.6666666666666666
135,Bhushan Power & Steel Ltd,0.0,1,1.0,1.0,0.0,22.665526,85.64622,0.6666666666666666
136,Big River Steel LLC,0.0,1,1.0,1.0,1.0,35.644264,-89.941659,1.0
137,Blastr Green Steel AS,0.0,1,1.0,1.0,0.0,60.0175,23.9126,0.6666666666666666
138,BlueScope Steel Ltd,0.0,2,1.0,1.0,0.5,2.6759389999999996,24.805504999999997,0.8333333333333334
139,Bonab Steel Complex,0.0,1,1.0,1.0,0.0,37.417437,46.035778,0.6666666666666666
140,Briquetera del Orinoco CA,0.0,1,1.0,1.0,0.0,8.274965,-62.819282,0.6666666666666666
141,British Steel Ltd,0.0,1,1.0,1.0,0.0,54.085131000000004,-0.874782,0.6666666666666666
142,Butia Iranian Steel Co,2500.0,1,1.0,1.0,0.0,30.4912,56.8214,0.6666666666666666
143,CMC Poland SP zoo,0.0,1,1.0,1.0,0.0,50.487463,19.456759,0.6666666666666666
144,CVG Ferrominera Orinoco CA,0.0,1,1.0,1.0,0.0,8.33468,-62.728842,0.6666666666666666
145,Cambodia Iron & Steel Mining Industry Group Co Ltd,0.0,1,1.0,1.0,0.0,13.366642,105.118129,0.6666666666666666
146,Cangzhou China Railway Equipment Manufacturing Materials Co Ltd,6763.0,1,1.0,1.0,0.0,38.289221,117.814367,0.6666666666666666
147,Cangzhou Lingang Sanling Metal Co Ltd,0.0,1,1.0,1.0,0.0,38.311738,117.457779,0.6666666666666666
148,Captain Steel India Ltd,0.0,1,1.0,1.0,0.0,22.855859,87.345018,0.6666666666666666
149,Cascade Steel Rolling Mills Inc,0.0,1,1.0,1.0,0.0,45.228035,-123.163599,0.6666666666666666
150,Celsa France SAS,0.0,1,1.0,1.0,0.0,43.529693,-1.500971,0.6666666666666666
151,Celsa Huta Ostrowiec SP zoo,0.0,1,1.0,1.0,0.0,50.947305,21.448763,0.6666666666666666
152,Century Steel Pte Ltd,0.0,1,1.0,1.0,0.0,34.124213,72.019181,0.6666666666666666
153,Ceylon Steel Co Ltd,0.0,1,1.0,1.0,0.0,6.128077,81.075224,0.6666666666666666
154,Chadormalu Mining & Industrial Co,4000.0,1,1.0,1.0,0.0,32.387328,53.747706,0.6666666666666666
155,Changshu Longteng Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,31.723833,120.835685,0.6666666666666666
156,Changzhou Dongfang Special Steel Co Ltd,0.0,1,1.0,1.0,0.0,31.602554,119.724256,0.6666666666666666
157,Chart and Capstone Integrated Ltd,0.0,1,1.0,1.0,0.0,7.69346,6.806937,0.6666666666666666
158,Charter Manufacturing Co Inc,0.0,1,1.0,1.0,0.0,42.42184,-84.8040555,0.6666666666666666
159,Chelyabinskiy Metallurgicheskiy Kombinat PJSC,7400.0,1,1.0,1.0,0.0,55.27073,61.436492,0.6666666666666666
160,Chelyabinskiy Truboprokatnyi Zavod JSC,0.0,1,1.0,1.0,0.0,56.90205,59.992198,0.6666666666666666
161,Chengde Jianlong SPECIAL Steel Co Ltd,1805.0,1,1.0,1.0,0.0,40.515035,117.596071,0.6666666666666666
162,Chengde Shengfeng Iron & Steel Co Ltd,0.0,1,1.0,1.0,0.0,40.622466,118.490845,0.6666666666666666
163,Chengde Street Ltd,0.0,1,1.0,1.0,0.0,40.947707,117.719747,0.6666666666666666
164,Chengde Zhaofeng Steel Group Co Ltd,10000.0,1,1.0,1.0,0.0,40.593875,118.633334,0.6666666666666666
